Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
C04,Neoplasms,,Closest Index for 2: 36663 distance: 0.500383051600127,Suggestion 2: monoblastic,Type of Leukemia. Source: doi:  10.4142/jvs.2008.9.1.109,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 2250 distance: 0.5068690620368415,Suggestion 3: leukemic,Adjective of leukemia. There is a plethora of concepts such as leukemic cells or leukemic progression. Each would make sense as sub-category. Sources: doi:  10.1371/journal.pone.0027042 and doi:  10.1186/s12967-015-0543-8,,,,,,
C04.557.337,Leukemia,,Closest Index for 4: 5305 distance: 0.5087877737396499,Suggestion 4: leukemias,,,,,,,
,,,Closest Index for 5: 96472 distance: 0.526531267423233,Suggestion 5: neurohypophysitis,,,,,,,
,,,Closest Index for 6: 16680 distance: 0.5267675153335267,Suggestion 6: leukaemias,,,,,,,
,,,Closest Index for 7: 19844 distance: 0.5414721020251638,Suggestion 7: erythroleukemia,Type of Leukemia. Source: doi:  10.1038/leu.2009.181,,,,,,
,,,Closest Index for 8: 5801 distance: 0.5444842474959506,Suggestion 8: jurkat,Type of Leukemia. Source: doi:  10.1080/15384047.2015.1078026,,,,,,
,,,Closest Index for 9: 21829 distance: 0.5585119862674155,Suggestion 9: mpal,Mixed Phenotype Acute Leukemia (MPAL). Type of Leukemia. Source: doi:  10.1080/15384047.2015.1078026,,,,,,
pubmed-skip-gram.txt,C04.557.337,RegressionVectorStreamPredictor,Closest Index for 0: 201 distance: 0.09144238292370033,Suggestion 0: leukemia,6,2,1,0,0,0,0
C,Diseases,,Closest Index for 1: 516 distance: 0.24952252825634702,Suggestion 1: myeloid,,,,,,,
C04,Neoplasms,,Closest Index for 2: 1051 distance: 0.2598146053209288,Suggestion 2: lymphoblastic,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 2080 distance: 0.28261936955641265,Suggestion 3: myelogenous,,,,,,,
C04.557.337,Leukemia,,Closest Index for 4: 3077 distance: 0.29375312549768606,Suggestion 4: leukaemia,,,,,,,
,,,Closest Index for 5: 3576 distance: 0.3144938820201705,Suggestion 5: promyelocytic,,,,,,,
,,,Closest Index for 6: 1404 distance: 0.33868670115860555,Suggestion 6: lymphocytic,Type of Leukemia. Source: doi:  10.1016/j.bbamcr.2015.07.009,,,,,,
,,,Closest Index for 7: 15110 distance: 0.34510204440533965,Suggestion 7: prolymphocytic,,,,,,,
,,,Closest Index for 8: 13879 distance: 0.3611902706918849,Suggestion 8: megakaryoblastic,,,,,,,
,,,Closest Index for 9: 21580 distance: 0.3636192036677822,Suggestion 9: myeloblastic,Type of Leukemia. Source: https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia (accessed June 3; 2018),,,,,,
