Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 73921 distance: 0.4668897035906765,Suggestion 7: unpigmented,English for amelanotic; which is a real subcategory. We consider as a real subcategory. Source: https://medical-dictionary.thefreedictionary.com/amelanotic (accessed July 2; 2018),,,,,,
,,,Closest Index for 8: 11940 distance: 0.48346051765296383,Suggestion 8: melanosis,Malign pigmentation; a.k.a. freckles. No Melanoma. MeSH Category: C17.800.621.430.530,,,,,,
,,,Closest Index for 9: 509 distance: 0.4870689230449444,Suggestion 9: glioma,,,,,,,
pubmed-cbow.txt,C04.557.665.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.02628735926408854,Suggestion 0: melanoma,2,4,0,1,0,2,0
C,Diseases,,Closest Index for 1: 3416 distance: 0.4121936842428714,Suggestion 1: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
C04,Neoplasms,,Closest Index for 2: 2536 distance: 0.41350347571662294,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 9815 distance: 0.4199420341834845,Suggestion 3: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 1774 distance: 0.4635602305987889,Suggestion 4: mesothelioma,,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 1276 distance: 0.46537625398260973,Suggestion 5: neuroblastoma,,,,,,,
,,,Closest Index for 6: 73921 distance: 0.4661256563508559,Suggestion 6: unpigmented,English for amelanotic; which is a real subcategory. We consider as a real subcategory. Source: https://medical-dictionary.thefreedictionary.com/amelanotic (accessed July 2; 2018),,,,,,
,,,Closest Index for 7: 27306 distance: 0.4669722354475374,Suggestion 7: uvea,The anatomical part uveal melanoma occur in. ,,,,,,
,,,Closest Index for 8: 62598 distance: 0.47681478835582003,Suggestion 8: a875,A human melanoma cell line purchasable for experiments. Essentially a specific type of melanoma cell source: doi:  10.3892/ijmm.2017.3030,,,,,,
,,,Closest Index for 9: 28518 distance: 0.48225327180860567,Suggestion 9: a2058,A human melanoma cell line purchasable for experiments. Essentially a specific type of melanoma cell source: doi:  10.3892/ijmm.2017.3030,,,,,,
pubmed-skip-gram.txt,C04.557.465.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.01272414991896409,Suggestion 0: melanoma,1,4,0,1,1,0,2
C,Diseases,,Closest Index for 1: 9815 distance: 0.2653620386644465,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 2536 distance: 0.30729369841429177,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 4181 distance: 0.3162115666366011,Suggestion 3: melanocytes,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 3416 distance: 0.35422999299360713,Suggestion 4: uveal,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 12560 distance: 0.3705682711095213,Suggestion 5: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 13056 distance: 0.39230052068323096,Suggestion 6: lentigo,Liverspots. MeSH Tree Number: C17.800.621.430.530.550,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 2292 distance: 0.41604591315860007,Suggestion 7: nevus,Interestingly not on own path but on different path to this term,,,,,,
,,,Closest Index for 8: 19505 distance: 0.4249260149006904,Suggestion 8: lentiginous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 9823 distance: 0.4345183070374984,Suggestion 9: acral,Type of Melanoma. Source: doi:  10.1016/j.tranon.2017.06.004,,,,,,
pubmed-skip-gram.txt,C04.557.580.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.01272414991896409,Suggestion 0: melanoma,1,4,0,1,1,0,2
C,Diseases,,Closest Index for 1: 9815 distance: 0.2653620386644465,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 2536 distance: 0.30729369841429177,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 4181 distance: 0.3162115666366011,Suggestion 3: melanocytes,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 3416 distance: 0.35422999299360713,Suggestion 4: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 12560 distance: 0.3705682711095213,Suggestion 5: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 13056 distance: 0.39230052068323096,Suggestion 6: lentigo,Liverspots. MeSH Tree Number: C17.800.621.430.530.550,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 2292 distance: 0.41604591315860007,Suggestion 7: nevus,Interestingly not on own path but on different path to this term,,,,,,
,,,Closest Index for 8: 19505 distance: 0.4249260149006904,Suggestion 8: lentiginous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 9823 distance: 0.4345183070374984,Suggestion 9: acral,Type of Melanoma. Source: doi:  10.1016/j.tranon.2017.06.004,,,,,,
pubmed-skip-gram.txt,C04.557.665.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.025416011425708818,Suggestion 0: melanoma,1,4,0,1,1,0,2
C,Diseases,,Closest Index for 1: 9815 distance: 0.2752364054747557,Suggestion 1: amelanotic,,,,,,,
C04,Neoplasms,,Closest Index for 2: 2536 distance: 0.3144202749269981,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 4181 distance: 0.3271149319793757,Suggestion 3: melanocytes,,,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 3416 distance: 0.36675264087557713,Suggestion 4: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 12560 distance: 0.37823616333345245,Suggestion 5: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
,,,Closest Index for 6: 13056 distance: 0.4031566546710108,Suggestion 6: lentigo,Liverspots. MeSH Tree Number: C17.800.621.430.530.550,,,,,,
,,,Closest Index for 7: 2292 distance: 0.42777979006689626,Suggestion 7: nevus,Interestingly not on own path but on different path to this term,,,,,,
,,,Closest Index for 8: 19505 distance: 0.427843144804399,Suggestion 8: lentiginous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 9823 distance: 0.43847855848515016,Suggestion 9: acral,Type of Melanoma. Source: doi:  10.1016/j.tranon.2017.06.004,,,,,,
pubmed-cbow.txt,C04.557.465.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.20772608490448097,Suggestion 0: melanoma,1,2,0,1,3,2,0
C,Diseases,,Closest Index for 1: 2536 distance: 0.4203636550568186,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 9815 distance: 0.4419147703961239,Suggestion 2: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 1276 distance: 0.4537858406905987,Suggestion 3: neuroblastoma,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 4876 distance: 0.47513253238661934,Suggestion 4: neuroectodermal,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 67 distance: 0.4761194452052263,Suggestion 5: tumors,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 973 distance: 0.47967726805921806,Suggestion 6: neuroendocrine,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 2694 distance: 0.4801847631216255,Suggestion 7: medulloblastoma,,,,,,,
,,,Closest Index for 8: 9772 distance: 0.481768858308238,Suggestion 8: melanotic,Melanotic means that melanin (pigment) is present. So it is essentially all not amelanotic melanoma. A potential subcategory if you consider melanotic and amelanotic melanoma. Source: https://medical-dictionary.thefreedictionary.com/melanotic (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 3416 distance: 0.48377478532077967,Suggestion 9: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
pubmed-cbow.txt,C04.557.580.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.20700032222744735,Suggestion 0: melanoma,1,2,0,1,3,2,0
C,Diseases,,Closest Index for 1: 2536 distance: 0.41820610744830566,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 9815 distance: 0.43332259819638974,Suggestion 2: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 1276 distance: 0.45975082811257173,Suggestion 3: neuroblastoma,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 67 distance: 0.46201544724923205,Suggestion 4: tumors,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 4876 distance: 0.4677613711713221,Suggestion 5: neuroectodermal,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 9772 distance: 0.47374255114854535,Suggestion 6: melanotic,Melanotic means that melanin (pigment) is present. So it is essentially all not amelanotic melanoma. A potential subcategory if you consider melanotic and amelanotic melanoma. Source: https://medical-dictionary.thefreedictionary.com/melanotic (accessed July 2; 2018),,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 3416 distance: 0.47890095490450235,Suggestion 7: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
,,,Closest Index for 8: 2694 distance: 0.48483564394815726,Suggestion 8: medulloblastoma,,,,,,,
,,,Closest Index for 9: 973 distance: 0.487077425509863,Suggestion 9: neuroendocrine,,,,,,,
pubmed-cbow.txt,C04.557.665.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.17938907766468326,Suggestion 0: melanoma,2,4,0,1,1,1,0
C,Diseases,,Closest Index for 1: 2536 distance: 0.2779667415928976,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 9815 distance: 0.3770776007722827,Suggestion 2: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 73921 distance: 0.3976242151813575,Suggestion 3: unpigmented,English for amelanotic; which is a real subcategory. We consider as a real subcategory. Source: https://medical-dictionary.thefreedictionary.com/amelanotic (accessed July 2; 2018),,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 19505 distance: 0.4235989347209007,Suggestion 4: lentiginous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 6325 distance: 0.4312892020882463,Suggestion 5: um,Uveal Melanoma (UM) the most common primary malignant tumor of the eye in adults. Source: doi:  10.1007/s10555-017-9663-3,,,,,,
,,,Closest Index for 6: 3307 distance: 0.4479213715859244,Suggestion 6: bcc,Basal Cell Carcinoma. A non-melanoma skin cancer. ,,,,,,
,,,Closest Index for 7: 28518 distance: 0.4487021342811337,Suggestion 7: a2058,A human melanoma cell line purchasable for experiments. Essentially a specific type of melanoma cell source: doi:  10.3892/ijmm.2017.3030,,,,,,
,,,Closest Index for 8: 4062 distance: 0.4541034275690926,Suggestion 8: nevi,,,,,,,
,,,Closest Index for 9: 85739 distance: 0.45622617332025617,Suggestion 9: acrolentiginous,Type of Melanoma. Source: doi: 10.1016/j.annder.2008.04.023,,,,,,
pubmed-skip-gram.txt,C04.557.465.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.21743427640650392,Suggestion 0: melanoma,1,2,0,1,3,1,1
C,Diseases,,Closest Index for 1: 9815 distance: 0.3020577468917215,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 973 distance: 0.346884919113547,Suggestion 2: neuroendocrine,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 2536 distance: 0.35220452509258127,Suggestion 3: melanomas,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 4876 distance: 0.36206920421779043,Suggestion 4: neuroectodermal,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 67 distance: 0.3987157217124382,Suggestion 5: tumors,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 2694 distance: 0.4116294861633808,Suggestion 6: medulloblastoma,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 4181 distance: 0.41291495624153995,Suggestion 7: melanocytes,,,,,,,
,,,Closest Index for 8: 9772 distance: 0.42474593054468135,Suggestion 8: melanotic,Melanotic means that melanin (pigment) is present. So it is essentially all not amelanotic melanoma. A potential subcategory if you consider melanotic and amelanotic melanoma. Source: https://medical-dictionary.thefreedictionary.com/melanotic (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 3416 distance: 0.4298259692702987,Suggestion 9: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
pubmed-skip-gram.txt,C04.557.580.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.2116888277021236,Suggestion 0: melanoma,1,2,0,1,3,1,1
C,Diseases,,Closest Index for 1: 9815 distance: 0.2944281472488419,Suggestion 1: amelanotic,,,,,,,
C04,Neoplasms,,Closest Index for 2: 2536 distance: 0.3491512984318357,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 973 distance: 0.3554128110299579,Suggestion 3: neuroendocrine,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 4876 distance: 0.36405123037116793,Suggestion 4: neuroectodermal,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 67 distance: 0.38598220395504856,Suggestion 5: tumors,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 4181 distance: 0.40221384242269376,Suggestion 6: melanocytes,,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 2694 distance: 0.4192897711129252,Suggestion 7: medulloblastoma,,,,,,,
,,,Closest Index for 8: 9772 distance: 0.42130373588584724,Suggestion 8: melanotic,,,,,,,
,,,Closest Index for 9: 3416 distance: 0.4223955957487566,Suggestion 9: uveal,,,,,,,
pubmed-skip-gram.txt,C04.557.665.510,RegressionVectorStreamPredictor,Closest Index for 0: 241 distance: 0.133506868803565,Suggestion 0: melanoma,2,3,0,1,1,1,1
C,Diseases,,Closest Index for 1: 2536 distance: 0.20429590204732329,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 9815 distance: 0.30583274054521437,Suggestion 2: amelanotic,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 19505 distance: 0.325784840088967,Suggestion 3: lentiginous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 4062 distance: 0.32858098119312873,Suggestion 4: nevi,,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 4181 distance: 0.33274159396306535,Suggestion 5: melanocytes,,,,,,,
,,,Closest Index for 6: 9823 distance: 0.3386812811313076,Suggestion 6: acral,Type of Melanoma. Source: doi:  10.1016/j.tranon.2017.06.004,,,,,,
,,,Closest Index for 7: 12560 distance: 0.3405977603531445,Suggestion 7: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
,,,Closest Index for 8: 17198 distance: 0.362214312967038,Suggestion 8: maligna,,,,,,,
,,,Closest Index for 9: 73921 distance: 0.363297612004315,Suggestion 9: unpigmented,English for amelanotic; which is a real subcategory. We consider as a real subcategory. Source: https://medical-dictionary.thefreedictionary.com/amelanotic (accessed July 2; 2018),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
