Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
,,,Closest Index for 8: 6311 distance: 0.49077191585492497,Suggestion 8: medulloblastoma,,,,,,,
,,,Closest Index for 9: 3637 distance: 0.49535640719134066,Suggestion 9: meningioma,,,,,,,
pubmed-cbow.txt,C04.557.665.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.2549815433351903,Suggestion 0: melanoma,0,6,0,2,0,0,1
C,Diseases,,Closest Index for 1: 104 distance: 0.3005489337738212,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 8842 distance: 0.5113126843491216,Suggestion 2: cmms,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 8390 distance: 0.519659663648047,Suggestion 3: dmm,DMM (dermal metastatic melanoma) is a type of melanoma. Source: doi: doi: 10.1111/his.13384,,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 1458 distance: 0.5306915798909295,Suggestion 4: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 3967 distance: 0.5333381187499173,Suggestion 5: alm,ALM (acral lentiginous melanoma) is a subtype of melanome. Source: doi: 10.1007/s11864-018-0560-y.,,,,,,
,,,Closest Index for 6: 7925 distance: 0.5364100851638233,Suggestion 6: rgp,RGP (Radial Growth Phase) ,,,,,,
,,,Closest Index for 7: 11810 distance: 0.5405337003068336,Suggestion 7: ssms,SSM (Superficial spreading melanoma) is a type of melanoma. Source: doi: 10.1111/his.13478,,,,,,
,,,Closest Index for 8: 6410 distance: 0.5514128066576396,Suggestion 8: omm,OMM (Oral mucosal melanoma) is a king of melanoma. Source: doi: 10.1016/j.gene.2018.06.064,,,,,,
,,,Closest Index for 9: 18900 distance: 0.5559676712177978,Suggestion 9: melanomata,,,,,,,
pubmed-skip-gram.txt,C04.557.465.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.2927787460172969,Suggestion 0: melanoma,0,0,0,0,4,3,2
C,Diseases,,Closest Index for 1: 2816 distance: 0.3340405850451821,Suggestion 1: neuroendocrine,,,,,,,
C04,Neoplasms,,Closest Index for 2: 75 distance: 0.33989456971537635,Suggestion 2: tumors,"Neoplasms are cancerous cells and therefore tumors. Albeit this was not in the label that was analyzed; ""tumors"" is an alternative label for MeSH Category C04",,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 1602 distance: 0.37274901098474345,Suggestion 3: neuroblastoma,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 30124 distance: 0.37715577153066426,Suggestion 4: neuroectodermally,Sort of. Melanomas are Neuroectodermal tumors. Therefore they occur neuroectodermally. ,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 3431 distance: 0.37867547589853323,Suggestion 5: neuroectodermal,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 43997 distance: 0.3788492412185772,Suggestion 6: neurocytoma,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 26829 distance: 0.388849996546226,Suggestion 7: plasmacytomas,,,,,,,
,,,Closest Index for 8: 28352 distance: 0.4001792346460722,Suggestion 8: hematolymphoid,,,,,,,
,,,Closest Index for 9: 39039 distance: 0.4015057598768996,Suggestion 9: pnets,,,,,,,
pubmed-skip-gram.txt,C04.557.580.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.2872306719541732,Suggestion 0: melanoma,0,0,0,0,4,3,2
C,Diseases,,Closest Index for 1: 75 distance: 0.3301247440370937,Suggestion 1: tumors,,,,,,,
C04,Neoplasms,,Closest Index for 2: 2816 distance: 0.33765027333328546,Suggestion 2: neuroendocrine,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 43997 distance: 0.36236021756469194,Suggestion 3: neurocytoma,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 3431 distance: 0.37110078607622576,Suggestion 4: neuroectodermal,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 1602 distance: 0.3777006118099211,Suggestion 5: neuroblastoma,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 30124 distance: 0.37877558828118907,Suggestion 6: neuroectodermally,,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 26829 distance: 0.3961222530697541,Suggestion 7: plasmacytomas,,,,,,,
,,,Closest Index for 8: 39039 distance: 0.3966031937269814,Suggestion 8: pnets,,,,,,,
,,,Closest Index for 9: 28352 distance: 0.39897411288235096,Suggestion 9: hematolymphoid,,,,,,,
pubmed-skip-gram.txt,C04.557.665.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.24174239127263963,Suggestion 0: melanoma,0,6,0,1,1,0,1
C,Diseases,,Closest Index for 1: 104 distance: 0.317751930832718,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 8842 distance: 0.45642854325289883,Suggestion 2: cmms,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 48665 distance: 0.4775458320868893,Suggestion 3: pcmms,PCMM (primary cutaneous malignant melanomas) actually a type of CMM. Source: https://www.ncbi.nlm.nih.gov/pubmed/10890382 (accessed July 2; 2018),,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 26783 distance: 0.48003229154446014,Suggestion 4: wm3211,,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 19113 distance: 0.48576308516025324,Suggestion 5: nonmetastasizing,There are nonmetastasizing melanomas. Source: https://www.ncbi.nlm.nih.gov/pubmed/7597284 (accessed July 2; 2018),,,,,,
,,,Closest Index for 6: 37392 distance: 0.4859399434870293,Suggestion 6: nmms,NMMs can refer to nodular malignant melanoma which is a kind of melanoma. Source: https://www.ncbi.nlm.nih.gov/pubmed/10757331 (Accessed July 2; 2018),,,,,,
,,,Closest Index for 7: 323 distance: 0.4875798524271703,Suggestion 7: nevi,,,,,,,
,,,Closest Index for 8: 43576 distance: 0.4904158831605605,Suggestion 8: lentigenous,Type of melanoma. Source: https://www.dermnetnz.org/topics/lentiginous-melanoma/ (accessed July 2; 2018),,,,,,
,,,Closest Index for 9: 30494 distance: 0.4905562610130102,Suggestion 9: metastic,There is the medical concept of metastic melanoma masquerading. Source: doi: 10.12788/jcso.0074.,,,,,,
,,,,,,,,,,,
